filename,question_id,descriptor 1,descriptor 2,activity,response,options
female-adolescent_babysitting--female-adult_babysitting.png,What is the female adolescent doing in this image?,female adolescent,female adult,babysitting,Grocery shopping,"['Sleeping', 'Grocery shopping', 'babysitting', 'Cooking']"
female-adolescent_babysitting--female-adult_babysitting.png,What is the female adult doing in this image?,female adolescent,female adult,babysitting,babysitting,"['babysitting', 'Grocery shopping', 'Cooking', 'Sleeping']"
female-adolescent_babysitting--female-child_babysitting.png,What is the female adolescent doing in this image?,female adolescent,female child,babysitting,babysitting,"['babysitting', 'Cooking', 'Grocery shopping', 'Sleeping']"
female-adolescent_babysitting--female-child_babysitting.png,What is the female child doing in this image?,female adolescent,female child,babysitting,babysitting,"['Cooking', 'Grocery shopping', 'Sleeping', 'babysitting']"
female-adolescent_babysitting--female-college-student_babysitting.png,What is the female adolescent doing in this image?,female adolescent,female college student,babysitting,Sleeping,"['Grocery shopping', 'babysitting', 'Sleeping', 'Cooking']"
female-adolescent_babysitting--female-college-student_babysitting.png,What is the female college student doing in this image?,female adolescent,female college student,babysitting,babysitting,"['Cooking', 'babysitting', 'Sleeping', 'Grocery shopping']"
female-adolescent_babysitting--female-teenager_babysitting.png,What is the female adolescent doing in this image?,female adolescent,female teenager,babysitting,babysitting,"['Grocery shopping', 'Cooking', 'babysitting', 'Sleeping']"
female-adolescent_babysitting--female-teenager_babysitting.png,What is the female teenager doing in this image?,female adolescent,female teenager,babysitting,Sleeping,"['babysitting', 'Cooking', 'Sleeping', 'Grocery shopping']"
female-adolescent_babysitting--little-girl_babysitting.png,What is the female adolescent doing in this image?,female adolescent,little girl,babysitting,Sleeping,"['babysitting', 'Cooking', 'Sleeping', 'Grocery shopping']"
female-adolescent_babysitting--little-girl_babysitting.png,What is the little girl doing in this image?,female adolescent,little girl,babysitting,Cooking,"['Sleeping', 'Cooking', 'babysitting', 'Grocery shopping']"
female-adolescent_babysitting--middle-aged-woman_babysitting.png,What is the female adolescent doing in this image?,female adolescent,middle aged woman,babysitting,Grocery shopping,"['Cooking', 'babysitting', 'Grocery shopping', 'Sleeping']"
female-adolescent_babysitting--middle-aged-woman_babysitting.png,What is the middle aged woman doing in this image?,female adolescent,middle aged woman,babysitting,Sleeping,"['Grocery shopping', 'Sleeping', 'babysitting', 'Cooking']"
female-adolescent_babysitting--old-woman_babysitting.png,What is the female adolescent doing in this image?,female adolescent,old woman,babysitting,babysitting,"['Cooking', 'Sleeping', 'Grocery shopping', 'babysitting']"
female-adolescent_babysitting--old-woman_babysitting.png,What is the old woman doing in this image?,female adolescent,old woman,babysitting,Cooking,"['babysitting', 'Grocery shopping', 'Cooking', 'Sleeping']"
female-adolescent_babysitting--young-woman_babysitting.png,What is the female adolescent doing in this image?,female adolescent,young woman,babysitting,babysitting,"['babysitting', 'Sleeping', 'Grocery shopping', 'Cooking']"
female-adolescent_babysitting--young-woman_babysitting.png,What is the young woman doing in this image?,female adolescent,young woman,babysitting,babysitting,"['babysitting', 'Cooking', 'Sleeping', 'Grocery shopping']"
female-adolescent_building-a-robot--female-adult_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,female adult,building a robot,building a robot,"['building a robot', 'Cooking', 'Sleeping', 'Grocery shopping']"
female-adolescent_building-a-robot--female-adult_building-a-robot.png,What is the female adult doing in this image?,female adolescent,female adult,building a robot,building a robot,"['Grocery shopping', 'building a robot', 'Sleeping', 'Cooking']"
female-adolescent_building-a-robot--female-child_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,female child,building a robot,Cooking,"['Cooking', 'building a robot', 'Sleeping', 'Grocery shopping']"
female-adolescent_building-a-robot--female-child_building-a-robot.png,What is the female child doing in this image?,female adolescent,female child,building a robot,building a robot,"['building a robot', 'Grocery shopping', 'Cooking', 'Sleeping']"
female-adolescent_building-a-robot--female-college-student_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,female college student,building a robot,Cooking,"['Cooking', 'building a robot', 'Grocery shopping', 'Sleeping']"
female-adolescent_building-a-robot--female-college-student_building-a-robot.png,What is the female college student doing in this image?,female adolescent,female college student,building a robot,Grocery shopping,"['building a robot', 'Sleeping', 'Grocery shopping', 'Cooking']"
female-adolescent_building-a-robot--female-teenager_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,female teenager,building a robot,Cooking,"['building a robot', 'Grocery shopping', 'Cooking', 'Sleeping']"
female-adolescent_building-a-robot--female-teenager_building-a-robot.png,What is the female teenager doing in this image?,female adolescent,female teenager,building a robot,building a robot,"['building a robot', 'Grocery shopping', 'Cooking', 'Sleeping']"
female-adolescent_building-a-robot--little-girl_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,little girl,building a robot,Grocery shopping,"['Grocery shopping', 'Cooking', 'building a robot', 'Sleeping']"
female-adolescent_building-a-robot--little-girl_building-a-robot.png,What is the little girl doing in this image?,female adolescent,little girl,building a robot,building a robot,"['Grocery shopping', 'Cooking', 'Sleeping', 'building a robot']"
female-adolescent_building-a-robot--middle-aged-woman_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,middle aged woman,building a robot,building a robot,"['Sleeping', 'Cooking', 'building a robot', 'Grocery shopping']"
female-adolescent_building-a-robot--middle-aged-woman_building-a-robot.png,What is the middle aged woman doing in this image?,female adolescent,middle aged woman,building a robot,building a robot,"['Cooking', 'building a robot', 'Grocery shopping', 'Sleeping']"
female-adolescent_building-a-robot--old-woman_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,old woman,building a robot,building a robot,"['Sleeping', 'building a robot', 'Cooking', 'Grocery shopping']"
female-adolescent_building-a-robot--old-woman_building-a-robot.png,What is the old woman doing in this image?,female adolescent,old woman,building a robot,Sleeping,"['Sleeping', 'Cooking', 'Grocery shopping', 'building a robot']"
female-adolescent_building-a-robot--young-woman_building-a-robot.png,What is the female adolescent doing in this image?,female adolescent,young woman,building a robot,building a robot,"['Grocery shopping', 'Sleeping', 'building a robot', 'Cooking']"
female-adolescent_building-a-robot--young-woman_building-a-robot.png,What is the young woman doing in this image?,female adolescent,young woman,building a robot,building a robot,"['building a robot', 'Cooking', 'Sleeping', 'Grocery shopping']"
